model,comparison,AF_group,p_value
1.5,Direct - Internal,all,4.0893103329460415e-06
1.5,Direct - Internal,AF,5.840737005014599e-05
1.5,Direct - Internal,NO AF,0.012607648696273193
1.5,Combo mimic - Internal,all,0.33413116688208633
1.5,Combo mimic - Internal,AF,0.22783460325544513
1.5,Combo mimic - Internal,NO AF,0.960857934423664
1.5,Combo amst - Internal,all,0.9033276960190044
1.5,Combo amst - Internal,AF,1.0
1.5,Combo amst - Internal,NO AF,0.7855000626997031
1.5,Transfer - Internal,all,0.5539477749010824
1.5,Transfer - Internal,AF,0.26107751339970453
1.5,Transfer - Internal,NO AF,0.6933629418866176
1.5,Transfer - Combo mimic,all,0.5443202716420071
1.5,Transfer - Combo mimic,AF,0.8945299557740088
1.5,Transfer - Combo mimic,NO AF,0.47041954849254475
1.5,Transfer - Direct,all,3.5180929375975916e-10
1.5,Transfer - Direct,AF,5.581359910610018e-06
1.5,Transfer - Direct,NO AF,7.108981847861062e-06
1.5,Combo mimic - Direct,all,1.1479112464827077e-08
1.5,Combo mimic - Direct,AF,9.990637501302093e-06
1.5,Combo mimic - Direct,NO AF,0.00013475095713553546
12,Direct - Internal,all,1.3764235158117846e-05
12,Direct - Internal,AF,0.0005984394056739703
12,Direct - Internal,NO AF,0.0066329209002244085
12,Combo mimic - Internal,all,0.4149178646783265
12,Combo mimic - Internal,AF,0.8503867302284336
12,Combo mimic - Internal,NO AF,0.3278589727171899
12,Combo amst - Internal,all,0.316153953726368
12,Combo amst - Internal,AF,0.5086154681901943
12,Combo amst - Internal,NO AF,0.44966357215371067
12,Transfer - Internal,all,0.7105106139804325
12,Transfer - Internal,AF,0.9580693324584446
12,Transfer - Internal,NO AF,0.5541738099002362
12,Transfer - Combo mimic,all,0.48624734979645634
12,Transfer - Combo mimic,AF,0.7051221517000887
12,Transfer - Combo mimic,NO AF,0.5442934784715872
12,Transfer - Direct,all,1.345058308227976e-09
12,Transfer - Direct,AF,1.1428532963293516e-07
12,Transfer - Direct,NO AF,0.0011589011505159356
12,Combo mimic - Direct,all,6.633682160442736e-08
12,Combo mimic - Direct,AF,7.682578562876675e-07
12,Combo mimic - Direct,NO AF,0.007519935288752529
6,Direct - Internal,all,6.743039214615678e-15
6,Direct - Internal,AF,2.038685962566181e-12
6,Direct - Internal,NO AF,6.844030857477333e-05
6,Combo mimic - Internal,all,0.6868859458014362
6,Combo mimic - Internal,AF,0.20839761204920026
6,Combo mimic - Internal,NO AF,0.5843173957024526
6,Combo amst - Internal,all,0.5609533031825815
6,Combo amst - Internal,AF,0.944812036945718
6,Combo amst - Internal,NO AF,0.7374791960404381
6,Transfer - Internal,all,0.7096876333684929
6,Transfer - Internal,AF,0.20839761204920026
6,Transfer - Internal,NO AF,0.5543642354701683
6,Transfer - Combo mimic,all,0.960695027759765
6,Transfer - Combo mimic,AF,1.0
6,Transfer - Combo mimic,NO AF,0.9440339560917276
6,Transfer - Direct,all,2.1798954189911346e-30
6,Transfer - Direct,AF,2.5381686779370883e-19
6,Transfer - Direct,NO AF,2.3578911438720025e-12
6,Combo mimic - Direct,all,3.7189657011469705e-30
6,Combo mimic - Direct,AF,2.5381686779370883e-19
6,Combo mimic - Direct,NO AF,3.78007408399456e-12
