model,validation_type,patient_group,NO AF patients,AF patients,NO AF recall,AF recall,NO AF precision,AF precision,NO AF f1,AF f1,mcc,auc,ECE,ESCE
1.5,transfer,all patients,49863,1070,0.6867216172312135,0.7336448598130841,0.9917455904075072,0.04784834816530538,0.8115179523640241,0.0898374914168002,0.129011489682747,0.7830717099431883,0.023977797690733393,-0.011116751914644032
1.5,transfer,balanced test,1070,1070,0.6738317757009346,0.7336448598130841,0.7166998011928429,0.6922398589065256,0.6946050096339114,0.7123411978221417,0.4082074923682037,0.7774307799807844,0.03806871800672682,0.02251768364259142
1.5,combo,all patients mimic,49863,1070,0.6907125523935583,0.7214953271028037,0.9914217450128098,0.04767197727553415,0.8141887898631239,0.08943466172381835,0.12694384729516406,0.7805007402525913,0.019971503705256636,-0.004325492356612418
1.5,combo,balanced test mimic,1070,1070,0.680373831775701,0.7214953271028037,0.7095516569200779,0.6929982046678635,0.6946564885496184,0.706959706959707,0.4022093662298338,0.7725722770547646,0.03547979088620069,0.024251983780148277
1.5,combo,all patients amsterdam,14563,400,0.6757536221932294,0.75,0.9899406498340207,0.05973715651135006,0.8032158015017956,0.11066027296200664,0.14543213535582636,0.8020884261484584,0.025876399358240033,-0.010062417962918159
1.5,combo,balanced test amsterdam,400,400,0.6875,0.75,0.7333333333333333,0.7058823529411765,0.7096774193548386,0.7272727272727272,0.4383570037596046,0.805525,0.06665138899132753,0.03542656933657979
1.5,direct,all patients,49863,1070,0.9135029982151094,0.3299065420560748,0.9845029934942832,0.07565366480925846,0.9476750234058046,0.12308228730822873,0.12100704335664014,0.7609460669899075,0.12446242282661925,0.12413604388962032
1.5,direct,balanced test,1070,1070,0.9093457943925234,0.3299065420560748,0.5757396449704142,0.7844444444444445,0.7050724637681159,0.46447368421052637,0.29355559089228006,0.7566992750458554,0.10688508209340514,-0.10448350824750838
12,transfer,all patients,43566,858,0.6770417297892852,0.6701631701631702,0.9904966587192316,0.03926254694434961,0.8043084054809462,0.07417919112429852,0.10164911226906156,0.7465984145160567,0.056035310999897316,-0.016245822990368478
12,transfer,balanced test,858,858,0.6958041958041958,0.6701631701631702,0.678409090909091,0.687799043062201,0.6869965477560415,0.678866587957497,0.36608773017583907,0.7561351818344825,0.04042860886499363,0.011962127224148805
12,combo,all patients mimic,43566,858,0.6889776431161915,0.6585081585081585,0.9903329044178297,0.040028338646829614,0.8126159052453468,0.07546917785346957,0.10271368401841537,0.7441855226595622,0.03899241530259017,-0.003360594106779476
12,combo,balanced test mimic,858,858,0.696969696969697,0.6585081585081585,0.6711560044893379,0.6848484848484848,0.6838193253287593,0.671420083184789,0.35574107495522395,0.7535576311800088,0.03400216311614797,0.010304770671856318
12,combo,all patients amsterdam,8623,334,0.5915574626000232,0.7634730538922155,0.9847490347490347,0.06751389992057188,0.7391146852133594,0.12405740695694478,0.13621650666916463,0.7484054273454714,0.0929987910618862,-0.07880574696012692
12,combo,balanced test amsterdam,334,334,0.6646706586826348,0.7634730538922155,0.7375415282392026,0.6948228882833788,0.6992125984251968,0.7275320970042796,0.43024888898780084,0.7817508695184482,0.07451503101655092,0.05922096953545352
12,direct,all patients,43566,858,0.7535233897993848,0.5314685314685315,0.9879024977430033,0.040736108629623013,0.8549403614771602,0.075672087620312,0.09034252294778117,0.7086972347611379,0.04362854101691704,0.03981902734089027
12,direct,balanced test,858,858,0.7587412587412588,0.5314685314685315,0.6182336182336182,0.6877828054298643,0.6813186813186813,0.5996055226824458,0.2980083255751918,0.705327209697839,0.055795458122136654,-0.03209005811322281
6,transfer,all patients,50004,981,0.6619270458363331,0.7247706422018348,0.9919086577362223,0.040361035422343323,0.7939980569249038,0.0764639457977093,0.11170772461257275,0.7630198758411254,0.045184254505367484,-0.03451681945432549
6,transfer,balanced test,981,981,0.6921508664627931,0.7247706422018348,0.7154899894625922,0.7018756169792695,0.7036269430051814,0.7131394182547642,0.4171434984540312,0.779630512874067,0.04178194227514966,0.03154347589432623
6,combo,all patients mimic,50004,981,0.6715662746980242,0.7013251783893986,0.9913502981637834,0.0402080532990474,0.8007105558072439,0.07605571523325226,0.10847967336795673,0.763716527550375,0.03687496766731831,-0.020997422073437334
6,combo,balanced test mimic,981,981,0.6880733944954128,0.7013251783893986,0.6973140495867769,0.6921529175050302,0.6926629040533606,0.6967088607594936,0.38943276848684094,0.7758876346817878,0.04188736051950858,0.022848354630674295
6,combo,all patients amsterdam,14578,371,0.6195637261627109,0.7304582210242587,0.9890494962768287,0.046587588103833594,0.7618726275832981,0.08758888170652876,0.1116859958409548,0.7483278906035347,0.07051137468031446,-0.05797230351815502
6,combo,balanced test amsterdam,371,371,0.6900269541778976,0.7304582210242587,0.7191011235955056,0.7020725388601037,0.7042640990371389,0.7159841479524439,0.42082927803110454,0.7848533503825168,0.06561659857529442,0.03642480768605214
6,direct,all patients,50004,981,0.8675105991520679,0.36799184505606525,0.9859087706538785,0.05167477812768394,0.9229279916598406,0.09062382327099285,0.09407984693904192,0.7306769892659352,0.10187355790917808,0.1015487326873264
6,direct,balanced test,981,981,0.8654434250764526,0.36799184505606525,0.5779441797140912,0.7322515212981744,0.6930612244897958,0.4898236092265943,0.26909220958575514,0.7348884670097813,0.09912218776474985,-0.09408706206464862
